summaries|pros|cons|adviceMgmt|ratings
Home Health Dept|large company, job security no matter how good or bad your work is|Wilshire Ave office--hostile work place. unorganized. very poor mid & upper management. culture poor|replace mid & upper managers, change culture of thinking no matter what care is done it is ok because it is kaiser|1.0
sonographer|lots of work available weekdays and weekends|high volume and variety of cases|ergonomic issues must be considered in scheduling|4.0
Dedicated to employee development|Huge company, good people, lots of opportunities within the company|Large organization could be challenging for some to navigate.|If you are uncomfortable relying on escalation through the ranks, middle management positions will be difficult. Must be ready to network and meet people to be successful.|5.0
Good company to work for if a person has support from management.|Great benefits. The pay is good. Hours are decent, with a good work-life balance. Most of the staff are supportive and easy to work with.|Political atmosphere, people with no experience promoted to managerial levels which become problematic for those who work under them. If a person is in a non-managerial and non-union position, there is no support or direction given from upper management if there is a problem with an immediate supervisor.|Provide a better direction and more training for those promoted to management levels, and have a clearer process available for staff that need to report problems and abuse by management.|2.0
Corrupt Culture|"Well marketed company image, great benefits package, KP makes positive statements like ""we support work-life balance"". Cool healthcare image promoted to help employees feel good about their mission."|"Huge organization, with complicated matrix management structure.""Work life balance"" in only applies to executive ranks and above, and to some administrative staff.Conflicting priorities and constant reorganization.Entrenched internal political parties.Management fosters backstabbing.Hierarchy is important, facts are not.Recent ""behaviors"" weighted performance feedback system requires groupthink and punishes innovtion.Compliance / HR hotline has limited integrity and is easily thwarted by the management about whom a complaint may be made."|Look more closely at executives and directors who say they exceeded their performance goals and never take accountability for failures in their control that they mis-attributed to the levels below them.|2.0
Kaiser Permanente|Excellent benefits and vacation package|Company is very fragmented and very large. It can be very difficult to navigate.||4.0
Growing Company|In the past 5 years I have seen a lot of growth within the company.|I think more concentration should be given to our key areas such as locations, and the number of specialties immediately available to the members.||3.0
good place to work at if you are hard working employee|it is relatively secure job with great medical, dental and pension plans; however do not be stupid and breach the code of ethics as they have zero tolerance!|it is a very busy work place, so if you are a slacker do not even think to apply; but if you enjoy being busy throughout your shift then this is your place!||5.0
An ongoing learning experience.|Secure. Unionized. Higher than average wages. Paid training. Employees who feel they need a change, have the opportunity to change positions and do something different withing their specialty.|Due to the fact that employees other than management are union employees, individual raises and bonuses based on performance do not exist.|Communication is Key|4.0
KP is one of the best places to work. Great room for growth and decent salaries.|This organization is constantly growing. Major room for growth.|Hard to make a direct impact b/c it's such a huge company.|MGMT should do a better job cross training employees to take on more responsibility in different departments.|5.0
Kaiser is just too big|Good benefits and good work life balance|If you want to get technical solutions implemented to help make the company successful, then this organization is probably not for you.|Listen to the individual contributors a bit more. Break the chain of command sometimes so you can be informed as to what is really occurring -particularly in KPIT|3.0
Sensational department with supportive colleagues|At Kaiser Permanente, you job title is what you imagine it to be. Given the experience, education, and passion, there is room for growth for each individual. The union provides members with ample support to perform their job, seek funding for additional learning opportunities, or handle management complaints.|Downside is that bureaucracy at Kaiser Permanente prevents changes from occurring at a bearable pace. If a large fixture is needed in a department, paperwork and numbers of doors to break down will seem endless.|More transparency from management would help. By that I mean more exposure of management to service for members and employees.|5.0
I have never worked for a company that treats employee like Kaiser treats them.|Pay is decent, benefits are excellent.|No increases, No Bonus's, The harder you work the more work you will get. They will work you till you die or file a compliance complaint. Once a complaint is filed your days are numbered. Their compliance program is mandatory, if you report a compliance complaint the company takes it time, shuffling your case to different people and groups. It has been more than 3 months since I filed a complaint and no resolution or any notice whatsoever.|Reward good workers. Do not set up employees for failure. Support the employees that work so hard for you. Do not turn your back on your employees just because you are afraid of your manager.|1.0
This employer is not supportive to it's management team|Good health care benefits, however, management health benefits not as good as Union employees health benefits.|This company is very supportive of union employees but NOT supportive of its Managers, Supervisiors or other management teams.Not a good company for new management-- organization only encouraging to union members.|Treat all employees the same. You burn out management becuase you treatment them terrible. New management shouldn't work at KP because of the disrepectful environment.|1.0
Rewarding|Good benefits. Good morale and work ethics. Very diverse environment.|Very Beaucratic and lots of red tape.|Open to new ideas.|4.0
Good company with an amazing mission held back by 1980's style management|Great benefits, great mission, great support for their employees|Old-school mentality about the way business works, terrible middle-management, lack of innovation|Study the success of fast-paced, innovation-based companies and change workflow accordingly|4.0
Too many people are doing the job that in another company would be done by one|life-work balance, many meetings when you can be busy with your own stuff, some free time here and there|no opportunities for career growth, no opportunities to make an impact, very restricted in terms of job functions: even if you are promised an opportunitiy to do more things, there is no room for that.|stop being so lame|2.0
Great company (but not perfect)|Kaiser is an organization that consistently puts the patient (member) first. It's been an evolution to get to this point, but Kaiser is doing a great job of keeping the priority on providing the best care in a caring way.|It's a big organization, so there's a lot of red tape. Everything takes longer than it should and it can be hard to find the right person to talk to when you're new.||5.0
Good Pay but is it worth the abuse?|Salaries are comparable to those outside of the company.. for union jobs, even better|Lots and lots and lots of politics. This is a company that makes corporate compliancy but for the most part, management can twist them as they see fit and apply these rules to some as they see fit (if management doesn't like you) and overlooks them when convenient.( if you are one of the protected ones). The average person who does what is expected of them and takes action as per the written guidelines of corporate compliancy will be sought after as a boat rocker by management and will subsequently be the target of retaliation regardless of the rules on whistleblowers and anti retaliation policys|Rather than worry about protecting yourselves, how about doing what your imposed rules mandate everyone else to do. Moral is extremely low.. you would get more from your employees if you would stop looking at the bean counter numbers and remember your human side when it comes to treating your employees fairly with dignity and respect as you say you do. Practice what you preach and stop setting people up !|1.0
It's a great place to work for work-life balance|Great medical benefits. Workplace culture matches my values of work-life balance and promotion of healthy lifestyle.|Bureaucratic at times. Takes a long time for things to get done sometimes due to red tape.||5.0
Exciting job opportunities, incompetent senior leaders|Salary, Variety of work, Benefits, Flexibility, IT systems|Lack of Business AccumenTop Down Leadership styleHero CultureFavoritismGroup ThinkRampant incompetence|Hire and promote those with solid business and management education and experience. Hire more from the outside|2.0
Great|Complete health care integration perspective, which is unusual for most health care/insurance companies in the U.S. Great Company overall.|There is little respect for new employees and their inexperience when it comes to help on issues/topics that are new.||5.0
As the bureaucracy grows it becomes more difficult to not only get the job done but to get it done right|Great mission, to improve the health of the members and the surrounding communitiesDivided into geographic regions, which if you're willing to relocate, may offer new opportunitiesOverall benefit package is very good|Very bureaucratic, sometimes it's who you know that helps more than what you knowExecutives too far removed from employeesBecoming too focused on the numbers rather than on the quality of the work|Truly listen to your people more, they have a wealth of knowledge and experience to shareReduce the bureaucracy, it's killing productivityGet back to focusing on doing the right things and not just doing what you can to make the numbers|3.0
Good place to work|-Management and team are very supportive and encouraging-Good place to develop professional development skills|-Workforce is slightly older so not the most attractive for recent college grads|-Management does a great job motivating and supporting employees|4.0
Relaxed|Relaxed environment! Very friendly peers.|Slow decision making, and lack of communication|Meet with all levels of workers|5.0
Opportunities for growth|Great benefits and competitive salaries. KP is the model for healthcare in the US. Tremendous opportunity for growth outside your original position.|There are still some negative perceptions out in the public about Kaiser Permanente from 15+ years ago that employees need to continuously change when you tell someone where you work. I find it a challenge more than a con.||5.0
Love Kaiser Permanente as a place to work|Great professional growth opportunities since KP is such a large organization. Excellent benefits.|Sometimes KP is slow to change since they are so large an org.|Be more open to change and trust your managers at all levels to know what technology they need to do a great job. Some dept are technologically in the dark ages!|5.0
Kaiser is a great place to work|Opportunity to work on cutting edge applications that are changing healthcare.Very talented team members.A wide variety of technologies and tools.|Large, multi-tiered organization which can be difficult to get your arms around.Because of size and complexity it can take a long time to build momentum on initiatives.|Keep up the good work!|5.0
good experience|They have a good working environment.They also provide good straining program.You can be easy to balance working and family.|Some of their manager styles is out of date.They do not recognize your hard work very well.There salary is low.|I think maybe they can try to learn some new management skills based on new tech knowledge, such as social media.|3.0
Satisfied.|Great pay. Satisfying work. Nice environment.|Very competitive and bureaucratic with lots of competition.|Hire a few young males.|5.0
Good pay, well staffed, lots of burned out co-workers and physicians|Pay and benefits, pt population|Lots of burned out staff and physicians|Enforce 0 tolerance for bad behavior by the MD's|4.0
Overall great place to work|Good work life balance, team-work, training|Not enough advancement opportunities, Career growth||3.0
Hasta la vista; oh and, remember to Thrive|Kaiser's benefits and salaries compare favorably to other health care organizations.Kaiser is at the forefront in the field of health informatics.There are a lot of people who are dedicated to improving quality and customer service and moving in the direction of becoming patient centered.|Treatment of laid off non-union long-term employees is pretty shabby: no efforts to retain or rehire employees who don't have a disciplinary, oh, sorry, corrective action history; no significant HR support ( Of course, given the state of the HR dept. itself, that's not surprising).Kaiser is a BIG company, and like all big organizations (corporations, unions, government), at some point most of the energy is devoted to maintaining the infrastructure and status quo and the needs of the individual (member or employee) get lost in the bureaucracy.|Stop the fragmentation of HR services. Walk the talk and give employees the tools and provide support so that they can THRIVE ( handing them a glossy brochure does not count).Don't let the bureaucracy and standardization get in the way of innovation.|3.0
Too much politics|Great benefits, competitive pay, great work life balance hands down.|Way too much politics within every nook and cranny of the organization. From the smallest level within departments all the way up to how the entire company is complexly structured. Everyone doesn't want to have accountability and additional responsibility. Compensation schemes skewed and no performance based rewards.|Strongly need to restructure the compensation scheme. Performance metrics for individuals (not regional areas or departments) need to be part of year-end reviews as incentives to drive individual performance and promote star employees. Tying bonuses and raises to departments and areas where individuals and even entire departments have no relation to does not make sense. You lose out on ability to attract top talent, and if you do have them, they are not incentivized to stay long nor perform at their best.|3.0
Medicore|Great resume builder, learn a lot.|Boring, same exact thing every single day.|Do not be afraid to address problems that the organization has. Sometimes management must be the bad guy for the overall success of the organization long term.|3.0
Terrible place to work|Relatively good benefits, good co-workers|Sr. management is horrible, it takes too long to get anything done||1.0
Kaiser is a great company to work for, but there are silo's that are good or bad like another large organization.|There is a lot of opportunity to learn and grow. You could move from the clinical side to the the administrative side and back if you have the credentials to do so.|There are some silo's that can make communication between groups and departments a little more difficult than they should be. With that said, the vast majority of employees are awesome and can get you what you need regardless.|The leadership has been great. My only advice would be to drop off the things we no longer need to improve upon and rather check back on those things periodically.|5.0
As a contractor that worked behind the scenes, what I saw was scary...|- Somewhat remote life/balance schedule- Managers in certain departments were intelligent and able to help when needed- Activities to keep employees remotely engaged with the organization|- Lack of knowledge or direction from senior management on special projects- Unprofessional-ism from managers in certain departments that does not represent KP correctly- Long lagtime of IT assistance in systems that should be in place- Lack of accountability from personnel on special projects|Management on any level needs to be screened for knowledge/background of position and should have prior management/supervisor experience.|2.0
It's a decent place to work with great benefits|KP offers fantastic Benefits PTO and a decent salary. It stresses balance in life and allows employee to stay healthy and promote a strong environmentally healthy work place.|The salary offered is typically lowered than industry competitions. For a programmer, the typical offer is around mid seventies, however KP offers lower than that. But if you factor in benefits, it comes out to a competitive value||5.0
just fine|there is no big pressure on works|It is hard to get everything done fast.|try to improve the working efficiency and reduce the cost|3.0
"Bad place to work don't let the--""voted best place to work"" fool you!"|Good healthcare benefit. Overall job location was good.Office furniture, lightening and general work environment (esthetics) was good, Town halls were fun! Love the Thrive Campaign!|They work you to death. Look down upon you taking any time for medical or bereavement leave for that matter. Politics run thick. Management is bread from thick politics. The retirement benefits are rarely enjoyed except for those who stay beyond five years. That is nearly impossible as either work hours get you, the lack of management support, poor pay, or politics most everyone is thinned out before then. They sound good on paper. but the disconnect is HUGE. No thriving here|Overhall! The politically incumbent management is sick. Review your values, review your mission, think the pack-- maybe you can actually beome the company you profess to be.|2.0
it was wonderfful|great benefits, sweet people, everyone there was hard working and compitent of there job. They where caring wanted everyone to succeed.|room for growth was not great. I had long hours and would have to work on the weekends once every month||4.0
ok|you learn a lot about different technologies, great work environment, good people, flexible hours, telecommute if desire.|long approval cycles, everything is happening very slowly, a lot of money is wasted on technology that at the end of the day might not be implemented||3.0
Stilting, no appreciation for any approach but their own, forget independent thought|security, current difficult environment for new practitioners|you become a drone, you occupy a place in a mechanical nonflexible system for providing care. Not at all fulfilling.|look beyond the current stilting ways of doing things|2.0
21 years and a waste of time|Medical and dental benfits excellent.|Upper management lack of insentitivity toward employees who face bereavement.|Be compassonate|3.0
Okay until the regions decentralized, then the regional filth were left to run the place|Pay - You definately get paid well for all of the BS and degradation you receive.Benefits - Great benefits|IT Ohio Region is a total joke. The department is run like a kindergarten class/Union shop. Management style is total old school and favoritism comes from doing it their way, length of tenure, entitlement and the Popularity score.If you have a mind of your own, common sense and good ideas, this is not the place for you.If you have specific career goals, this is not the place for you.If you like doing things that don't make sense and can keep your ideas to yourself, you will do well here.If you like management deciding your career path for you, you will love this place.They say that KPIT Ohio is the little region that could. I would say it's the little region that can't and just wont die. It looses millions every year and the facilities and physicians are low quality and over worked.Most people in IT talk a good talk and have great status reports but nothing to back any of it up.They always say they want change but they never do anything about it and repramand any one that tries.|Empower your employees. Some of you need to stop micro mananaging them. Stop acting like you know something about the department you are managing just because you read a book on the subject. If you don't really know, let the experts shine. Show respect for your employees.|1.0
Great place to work, as long as you're not a temp|Great pay and healthcare benefits. They even pay out generous annual bonus' to every employee, no matter how low you are on the totem pole.|If you're a temp, you don't qualify for any of the good stuff that Kaiser offers. Also, you are generally hated by the union members who will try to get rid of you as soon as look at you. Oh, and there are very few opportunities to move from temp to employee here.|Hire based on who is most qualified and competent for the position, not on who is or isn't a part of an employees union.|3.0
Hard to get a senior position, but company means well.|Great benefits. Opportunities to advance.|Bureaucratic and slow to change.|Use your common sense to solve problems.|4.0
Meh, but for the money...|Flexible at timesEmployee discountsBenefitsGood visionGreat employee programs for healthy lifestyle|Unrealistic job experience requirements for internal promotions making it impossible to move up fairly.PoliticsUnresolved Employee issuesInconsistentInternal communication stands to be improvedDated and limited software features & inconsistent versions|"If you really want to be ""best place to work,"" Develop the employees you already have. Only loyal employers can have loyal and happy employees."|2.0
Excellent|Flexibility. Good vacation and good pay.|Working in research can sometimes poise lots of deadlines.||4.0
great|kaiser permanente is a great model for health care. It has good brand recognition and the environment is a great place to work|Kaiser permanente is a large organization. Things move slowly, but they do move. You need to get geared toward the KP system.||4.0
The organization is huge|Excellent missionEthicalHas tackled some huge challengesCommitment to members|No real management development process, so some are good... some are not so goodInternal politics are huge||4.0
MANAGEMENT IS NOT INTERESTED IN THE CONCERNS OF THEIR EMPLOYEES|Decent wagers. co workers help to make working environment better. Management does not try to bridge the gap between employees and management|Most Managers have no idea oh how to reconcile. Management can be condescending and speaking up for yourself can get you fired. Lots of work , need to hire more people|Try remembering when you were just a worker bee. It wouldnt hurt to listen to some new ideas and concerns that some employees have|2.0
We have much to do|good people, good medicine, good leadership, great information technology, esprit de corps, good compensation, integrated system, good communication, large, successful|Unions make it difficult to fire employees who are not performing well, huge volume of work, especially when on call|Emphasize quality of care more than quantity of care, emphasize clinical judgment more, emphasize company loyalty, keep work at sustainable pace|4.0
interesting exp|-Other volunteers occasionally bring in food-teas, water, juice in volunteer break room-get to meet wide variety of people|-patients and visitors occasionally disrespectful, believe that doctors will know more than the volunteers, in reality, most doctors will know next to nothing about the general administrative details||4.0
Great gateway to get a head start in the real job market|- Exposure to many corporate processes that college students are most likely unfamiliar with before entering the corporate environment- Relevant and informative career/industry advices given from various senior and lower management leaders and coworkers- Flexibility of choice on what/who you want to learn from and what field you want more exposure in if you actively pursue them- Extremely friendly environment where everyone goes out of their way to make sure your need as an intern is fulfilled- A variety of rewarding opportunities and events that make lasting impact|- Things tend to move very slowly especially towards the beginning and the end of internship- Lack of overarching framework for intern responsibilities; intern's goal and objectives were not defined and set up clearly until a good portion of the internship passed- Managers are usually too busy to check up on intern's statuses, as a result down time is pretty significant; often must approach people actively to participate in projects and tasks- Much of interning was observing and listening rather than creating and hands-on experiences- Projects usually span in years; as a result, interns can only get glimpse of project(s) in operation||4.0
Pre-paid health care. Great idea that should work better than it does.|Collegial support.Team work.Integrated care; consultations with specialists are literally a walk down the corridor, or a brief phone call away.|"Workload. Intensity of the environment in general. Workers tell me they are drained even when they haven't been overwhelmed with patients.Middle management is terrible. They seem to have the view that ""take-aways"" are the way to motivate someone. They have forgotten that many of the people work there because they want to make the place better. That's why I stay."|McDonald's can provide fast food. When Kaiser Permanente provides fast care, they risk regaining their reputation from the 80s of being the K-mart of health care.|4.0
Sweatshop for Doctors|- Excellent retirement package if you stay 10+ years working 100% full time- Flexible scheduling for time off, coverage by other colleagues- Compensation is very good and competitive- Sturdy EMR and easy consultation structure.- Incredible growth and marketshare thanks to an ever apparent corporat-ization of American health care so that literally it is run like a business. (which I am not arguing should be the case but no one ever expects a clinic to be run like General Motors.)|"- Literally a sweatshop if you are a primary care MD doing majority primary care patient time.- You are pushed into a situation of every 15/20 min appointments with a mixture of either patients who are really sick and need 40 mins of time or ""worried well"" healthy patient who are psychologically imbalanced and obsessed with inane and irrelevant issues who also take 30-40 of your time. As a results you are always behind. (I am an extremely efficient person so time management problems are usually not a problem for me)- Kaiser's business model is to enroll and take over the marketshare for healthy young patients, show them how ""cool"" Kaiser is with instant e-mails and fast consults so that they never want to leave, keep them healthy and phase out the sick folks.- As a result tons of new and healthy young patients without problems except it self selects for young patients who are a tiny bit insane who come in with a list of complaints and demands that are not medically significant, but they want care at that moment, and they demand an MRI, CT, blood tests, without any regard to your medical opinion or expertise. Then it is your job as a physician to explain to them why they should not be ordered etc, they get mad, you lose, and so you order the tests, then a few months later you get a report of your superiors detailing the unnecessary tests you ordered, if significant enough your bonus is withheld and you are punished.- contrary to common belief there is a punitive system of punishing doctors for unecessary testing. It is not done at the front end (which is good) so there is some autonomy, no preapproval nonsense) but after awhile you are forced to change the way you practice because you can be sent for remediation education, and financial withholding of your bonus checks. You are warned of this by middle management (at least they whisper this to you)- Doctors who have been there for awhile and with political ambitions are promoted to higher positions of power, awarded with less patient time, and higher salaries and therefore are sorely out of touch with the frontline doctors trying to keep their head above water to take care of the droves of patients coming through their doors.- Leadership is not composed of primary care MD's (the heart and majority of the KP workforce), Leader CEO Robbie Pearl, a non practicing plastic surgeon, is credited with saving Kaiser(and he did) but he is no longer a doctor, literally he is the Jack Welsh (General Electric) of Kaiser. Legendary in status but now completely out of touch with his workers and spitting out initiatives that are ineffective to making primary care more bearable but still making tons of money for the company. Therefore no problem is perceived when a company still makes a profit.- You are constantly monitored. Because Kaiser's IT is so advanced every aspect of your practice from the second you ""open"" a chart to when you ""close"" a chart, how much time you spend with a patient, how many labs you order, how many clicks you click, how fast or slow you return patient e-mails is logged and reviewed by higher management and interpreted without the scientific standards we learned in medical school. Instead it is analyzed by MBAs or executive MD's pretending that they have an MBA."|"- Honestly 1/2 the people that work in my unit are administrators in one form or another. They are Lead MD of this..., Assistant Chief of that..., Champion of this..., Chief of that....- As a result they are ""awarded"" with less patient time and the MDs that work with patients exclusively are holding the bag and bearing the brunt of the work.- There is way too much ineffective leadership at the lower levels and at the higher levels as well.- At the executive office there are probably 50-75 Medical Doctors who have not touched a patient in years and sit in an ivory tower telling other doctors that they should see more patients.- The Kaiser corporate illusion will be exposed one day and patients will revolt, just as easy as Kaiser recruited those patients, they will leave in disgust when they see the sweatshop conditions that compromise their care.- Install primary care leadership.- Discourage career executive MD's - you cannot have this classic business model and expect it to work the same as a fortune 500 company. It is almost an insult to see an MD at such a high level and still be so insensitive to MD needs.- Make administrator MDs feel the pain frontline primary care MD's go through everyday - that will change their executive decisions for sure.- make promotion and pay raises more transparent.- focus on quality patient care not marketshare and profits."|2.0
Overall Positive|They offer great benefits to their employees and a healthy work-life balance. Once you're in the organization, there are so many more possibilities in terms of movement, although not necessarily within the same department.|Difficult for management to deal with problem employees - it seems impossible to lay off people who are toxic to the environment.||5.0
Great|Cafeteria food, PTO, work schedule|Lifting fat patients and stinky restrooms|Help out every now and then.|4.0
"30 + year career with ""new job"" about every 3 years"|Great career diversity without changing companies|Large organization which is unionized||5.0
Good place to work|Kaiser values their employees and provides good benefits, especially health benefits. Kaiser engages employees in developing and incorporating healthy lifestyles into the daily routine. Although demanding, Kaiser provides much communication and education for staff.|Kaiser is a big company and sometimes, the efforts to bring consistency throughout the organization doesn't fit with the local facility.|Keep offering programs to encourage healthy lifestyles and life work balance. Encourage and reward creativity. Provide opportunities for strategic planning in the changing healthcare environment.|5.0
Rewarding and opportunity for growth|Benefits! Pay is competitive as well. Nice Live Well Be well campaign to keep employees healthy|Sometimes management favorites supercede talent and promotions are mis-appropriated|Better bonus structure please!|4.0
Very stressful, not knowing if you would be let go because someone doesn't like you.|Benefits package are above average in the job market. The indiviual perks are many and varied including movie tickets at reduced rates and more.|Office politics are running rampid. Everyone seems to be affraid of losing their jobs particularly if not union affiliated. So one manager will put down another manager to save their own position with-in the company. And if you are unlucky enough to be laid off getting re-hired is not an option. Even if the lay off is not in any way your fault.|Get to know your staff, they do the work that you are getting credit for. The staff usually knows more about what's happening within the system than most managers think.|3.0
I gain knowledge everyday about Finance by being surrounded with top professionals in the field.|Employees get benefits in addition to receiving a great salary -- they get medical insurance and life insurance benefits.|Some of the employees such as in my field, administration, can sometimes be very gossip-like and very competitive.||5.0
As a supposed leader in LGBT relations, my specific department was extremely ignorant of this minority treatment.|Coworkers great, very low turn over, salary leader in immediate area.|my department had a series incompetent managers, which lead to animosity between staff and management. Lack of reviews and education.|Understanding of specialty needed and organization of their expected work wasgreatly lacking. No job performance reviews for 2 years in a row. This has lead to problems for consistent recommendations for future employers.|3.0
Kaiser not the best place to work at|FlexibleGood health benefits and pension|Management shows favoritismNo growthPoor salaryNo management supportPoor leadershipOver worked||1.0
A Great Place to Work|- Excellent Benefits- Excellent Pay- Great Growth Opportunities|- Lack of Management Communication- Have Too Many Dotted Lines To Various Managers- Reactive as opposed to Proactive|Get in and learn the jobs of the people under you. Look at the bigger picture and avoid the tunnel vision.|4.0
Good benefits and a relaxed work environment|The benefits are excellent especially the health benefits, 401k and pension plan. There are many opportunities now to grow your skill with all the focus on healthcare.|Could improve the telecommute policy and the time off policy. Also could tie up the bonus to individual group unit performance.|Improve the communications to employee and clearly motivate the employees by listing the opportunities and challenges that lie ahead.|4.0
a good place to work with respect for employees|A good balance of life and work, respect for employees, and commitment to progress in providing health care to the community.|KP is a very large organization, with various levels of bureaucracy. Learning about the various groups and establishing relationships are key to getting the best projects off the ground.|Communication, communication, communication. The biggest issue facing any company is letting employees know what is going on. So let them know in a creative manner.|4.0
The experience greatly expanded my skills|There were many career opportunities so that if you became expert in one area, you could transfer to another to continue the expansion of your skills.|When physicians and many leaders say nurse, you are not sure if they mean a registered nurse, a nurse practitioner, or a clinical assistant/technician.|See the con above.|4.0
Large organization with good opportunities and worthwhile intention. Overall is a positive experience.|A very large organization with opportunities to grow.Good pay and excellent medical benfits.Leader and visionary in the health care field.Leverage the size to make a positive impact to health care and community.|Complex organization structure. Overlapping and siloed departments.Difficult to navigate to try to get things done.Heavy politics and bureaucracy. Can be discouraging.Slow to make changes.|Many managers lack management and leadership skill.Need process improvement in many areas.|4.0
Large company means long process|Large company, Nice people, Good benefit|Long complex process to get things done||4.0
Bureaucratic workplace with fantastic work/life balance|Fantastic work / life balance, friendly atmosphere, promotes good health, amazing benefits, feel good about working for non-profit and community supportive company.|Average to sub-par salary compared to competitors, big bureaucracy with lots of red tape and hoops to jump through, company is often slow to keep up with market changes.||4.0
Reasonable work place.|Plenty of opportunity to move around and experienceBig enterprise environmentRelaxed work cultureGreat benefits|Heavily process oriented. Things move slowly. If you want to see action, this is not the place.Accountability of staff could be better.||4.0
Don't follow the herd and create your own destiny|Great benefits and stable environment (if you work in clinical field). If you're competent and can shake off the herd mentality you can create positive changes in your environment.|Heavy bureaucracy, herd mentality, strong fiefdoms.|More local key business contacts should be online (intranet)|4.0
Okay to work, depends on which group|Like govt job in few departments, Healthcare exeperience may add value, learn how healthcare providers make money, politics in healthcare|No job reward. Only director and above make money by doing re-org every year, some of the benefits are taken away.|Look at the actual people who works and stop Managed service model, Provide more technical and robust work environment to people|3.0
It was like working in high school|benefits and the union local 105.|you cannot advance unless you have a inside connect at least in the Colorado region.|treat your employees right..they keep KP going.|3.0
supportive of growth|great learning experience with lots of opportunities|incompetent workers are hard to get rid of.|reward good workers and fire bad workers|5.0
Good|long term retirement plangreat benefits plan that includes vision/dental and health after retirementearly retirement benefits at 60 years of age|salary not directly based on workloadsalary type job which does not offer incentives for increase pay for more patients or production|create compensation plan that levels the playing field for differences between facilities.currently compensation only based on job title with no allocation for work load|4.0
great|great income, great benefits, pleasant environment. Preventative facility.|We always do over and above no matter what||5.0
Fairly good place to work.|Flexibility with great benefits package.|Little or no professional development. Most managers do not have any experience or training in management.|Manager need to be open to getting trained and listen and grow as managers. Set clear expectations for emploees.|3.0
Exciting|Great team work, good compensation, opportunities for growth,|"Too many managers and at the end of the day you don't know what they do. There is too much emphasis placed on doing the ""right thing"". Its all about the numbers and managers have few time to meet the employees. Senior management doesn't seem to leave the glass towers and policies are just issued through office email and mid-level managers."|Promotions should come from within the department. And also there is too many managers who don't seem to know what they are doing.|4.0
Excellent Opportunity!|Stable environment to work in.|Large corporation with too many home grown systems|Provide opportunity to those who deserve it.|5.0
Great place for benefits and wages, but horrible for professional growth.|The benefits and wages are good.|Professional growth is lacking. Kaiser is big on seniority. If you do not have the seniority, good luck on moving up. I have a Bachelors and getting my MBA and yet I can't move up to anything more than clerical work.||3.0
Great place to work|Smart, motivated people in a supportive environment.|Highly matrixed which can sometimes lead to confusion about how to get things done.||5.0
I am currently looking for a new opportunity|The best reason to work at Kaiser Permanente is the Health plan|There is a lot of bureaucracy.|Kaiser Permanente has been investing heavily in electronic medical records and physician support systems over the past five years. George C. Halvorson has been a leader that coordinates their care among doctors, nurses, and other caregivers.|2.0
Very dynamic work environment|Adaptation of best practices, very technology oriented|Some stifling of innovation and creativity.|Internal growth/promotion should be encouraged especially for those who have invested in themselves while in the company|4.0
Ok place to work|Great employee benefits and have a union|Overwhelming at times and not too many opportunities for career growth|Your employees are your most important assets|3.0
good|Great people to work with. Employees willing to give 110% and not think twice about it. Competitive salary. great benifits.|Union rules need to be changed for poor performers. And upper managment needs to keep managers in check when it comes to being unfair in hiring freinds. No room for growth. I would get an execellent job performance review every year but managment only advances freinds. doctors do not work as a team and whats good for kaiser|Keep the doctors in check, once they become partners, they don't care of what happens with the company as long as they are collecting a check.|3.0
Kaiser|great benefits, salary is competitive|the quality of work here is low, a lot of dissatisfied employees||2.0
Great opportunity in healthcare field|Schedule, Pay, Benefits. The people that worked there were easy to come to if help was needed. Management was very personable.|Not alot of jobs internally to post out to per the feedback provided from the employees that currently worked there.|Nothing, keep up the great work|4.0
My experience at Kaiser Permanente has been good.|Benefits, paid time off, tuition reimbursement, growth opportunities, good people to work with|Work/life balance not always present in some departments, some slow processes ( IT support, HR), communication from top to bottom slow|Communicate enterprise-wide information in a more timely fashion.|4.0
Interesting work- lots of it!|Great if you enjoy challenges|"Lots of work if you are a ""go to"" person"|Large corporation- difficult to find focus at times. Overall, doing a great job|4.0
I've been treated very well and enjoy going to work there.|Co-workers are always friendly and helpful. I received good orientation and training. The work is interesting. Pay is reasonably good. There are a lot of programs and resources for continuing education, healthy living, and community involvement.|As a part-time, on-call employee, I don't have a lot of control over the amount of work or scheduling of projects. There are no benefits for part-time employees.||5.0
Great Benefits - Poor Senior Management|Good work conditions at main, regional officeExcellent benefits packageSome outstanding managers|Many incompetent senior managersPoor communication from local senior managementLittle or no communication between departments results in teams duplicating work - or working on solutions that contradict each other.|Senior management in the region is invisible. I bet 50% of employees do not even know who the President is.|4.0
Excellent|Stable, one of the leaders of quality Health care in the country|Can be a conservative organization|More mentoring opportunites for advancement.|5.0
Good|The work/life balance is fair and the overall stress level is kept reasonable. The company is large enough for career growth.|Salary level might not be comparable to others in the same field.|Raise salary level.|4.0
A good place to have a career|Competitive pay, feedback, mobility in the company, benefits|Systems behind competitors, politics, information dissemination|Eliminate senority rights and give positions based on qualifications|4.0
Kaiser Permanente promotes successful employees|The benifits and salary are unmatchable.|In comparison to OHSU the facilities are out of date.||5.0
Its a great place to work, however my experiences have not been very good.|Kaiser is know to provide good salary and expetional benefits to most of its employees.|The hirarchy. Other than this can't think of anything else.|Can't really advice anything as I havn't been Kaiser for that long|3.0
